Actuation Strain ,,,,,,,,Modulus,,,,,,,Actuation Force (3 samples each of LTNI and HTNI) ,,,,,,,,,,,,,,,,,,,
"Notes: Length is data in the direction of the print/director, width is in the direction perpendicular to the director (width likely not important, I left it here in case). I will be redo-ing HTNI data since this data is with another method",Temp [C] corresponding to HTNI data,Avg Normalized Length L/L0 (HTNI),Avg Normalized Width W/W0 (HTNI),Temp [C] corresponding to LTNI data,Avg Normalized Length L/L0 (LTNI),Avg Normalized Width W/W0  (LTNI),,"Notes: Modulus data starts from ~0 stress at each temp, taken as slope from 5% strain (so sample is allowed to change shape, then strained 5% at 100%/min strain rate) ",Temp [C] corresponding to HTNI data,Avg Youngs Modulus of HTNI [Mpa],Temp [C] corresponding to LTNI data,Avg Youngs Modulus of LTNI [Mpa],,,"Notes: Actuation force measured by holding sample at constant length and increasing temp at 60C/min. I haven't averaged the curves together, so far just as 3 samples each of LTNI and HTNI. :et me know if you want me to make it one curve per material type",Temp_LTNI1,Axial force_LTNI1,stress_Mpa_LTNI1,Temp_LTNI2,Axial force_LTNI2,stress_Mpa_LTNI2,Temp_LTNI3,Axial force_LTNI3,stress_Mpa_LTNI3,Temp_HTNI1,Axial force_HTNI1,stress_Mpa_HTNI1,Temp_HTNI2,Axial force_HTNI2,stress_Mpa_HTNI2,Temp_HTNI3,Axial force_HTNI3,stress_Mpa_HTNI3,
,25,1,1,T,avg_LTNI_L,avg_LTNI_W,,,22,11.43702191,22,1.257633333,,,,28.67,-0.00459699,0.00919398,30.89,-0.00764918,0.01529836,31.52,-0.0125866,0.0251732,28.35,-0.00298994,0.00597988,31.64,-0.00522965,0.0104593,31.07,-0.00596431,0.01192862,
,28,0.997743967,1.0005192,22,1,1,,,35,4.699298443,35,0.523366667,,,,31.27,-0.00769067,0.01538134,33.68,-0.0119229,0.0238458,34.13,-0.01585,0.0317,29.72,-0.00284802,0.00569604,34.9,-0.00473459,0.00946918,33.36,-0.00536966,0.01073932,
,31,0.994747067,1.0032466,30,0.937068286,1.021752353,,,55,0.775518667,55,0.1802,,,,33.18,-0.0094465,0.018893,35.66,-0.0151501,0.0303002,35.86,-0.0175393,0.0350786,30.78,-0.0019772,0.0039544,37.4,-0.00383935,0.0076787,34.96,-0.00498188,0.00996376,
,34,0.9908002,1.006497867,40,0.750786533,1.123114259,,,75,0.423250333,75,0.428966667,,,,34.63,-0.0115502,0.0231004,37,-0.0154073,0.0308146,37.03,-0.019645,0.03929,32.23,-0.00235487,0.00470974,38.99,-0.0032287,0.0064574,36.07,-0.0044541,0.0089082,
,37,0.9861711,1.010024633,50,0.607585849,1.260869998,,,85,0.375750333,85,0.4692,,,,36.19,-0.0130998,0.0261996,38.11,-0.0155022,0.0310044,38.03,-0.0202146,0.0404292,34.68,-0.00476959,0.00953918,40.07,-0.00314787,0.00629574,37.1,-0.004033,0.008066,
,40,0.980917433,1.012551267,55,0.597366255,1.261130476,,,95,0.339138,95,0.544666667,,,,38.62,-0.0190604,0.0381208,39.56,-0.0179976,0.0359952,39.55,-0.023044,0.046088,38.07,-0.00573939,0.01147878,41.09,-0.00317517,0.00635034,39.03,-0.00520391,0.01040782,
,43,0.974317133,1.018206767,60,0.59540023,1.30210337,,,105,0.291516667,115,0.5864,,,,41.73,-0.0289823,0.0579646,42,-0.0265402,0.0530804,42.12,-0.0321251,0.0642502,42.27,-0.00591728,0.01183456,42.86,-0.00292776,0.00585552,41.75,-0.00647177,0.01294354,
,46,0.967464733,1.022019,65,0.59439663,1.328190377,,,115,0.137306,125,0.572566667,,,,45.81,-0.0427643,0.0855286,45.45,-0.040137,0.080274,45.65,-0.0463692,0.0927384,46.55,-0.00791956,0.01583912,45.71,-0.00405754,0.00811508,45.66,-0.00816397,0.01632794,
,49,0.9600969,1.028478,70,0.594465213,1.333572992,,,125,0.2995055,135,0.620933333,,,,50.02,-0.0605638,0.1211276,49.2,-0.0565273,0.1130546,49.43,-0.0633142,0.1266284,50.44,-0.00884462,0.01768924,49.19,-0.00653371,0.01306742,49.68,-0.00901722,0.01803444,
,52,0.952638833,1.032568633,75,0.595239182,1.287095339,,,135,0.391685333,,,,,,53.93,-0.0752646,0.1505292,53.51,-0.0726009,0.1452018,53.68,-0.0785955,0.157191,54.16,-0.00896226,0.01792452,53.39,-0.00764641,0.01529282,53.72,-0.00954801,0.01909602,
